,TEAM_ID,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
0,1610612738,25.97,53.17,0.488,0.529,-0.04
1,1610612744,25.42,50.49,0.504,0.531,-0.028
2,1610612739,27.26,53.97,0.505,0.532,-0.026
3,1610612756,27.66,54.48,0.508,0.532,-0.024
4,1610612746,29,56.46,0.514,0.533,-0.02
5,1610612764,29.71,57.88,0.513,0.529,-0.016
6,1610612763,27.47,52.93,0.519,0.533,-0.015
7,1610612762,28.78,55.6,0.518,0.533,-0.015
8,1610612752,25.53,49.08,0.52,0.532,-0.012
9,1610612755,27.97,53.74,0.52,0.531,-0.01
10,1610612760,27.21,51.93,0.524,0.534,-0.01
11,1610612759,30.78,58.54,0.526,0.534,-0.008
12,1610612753,27.9,53.22,0.524,0.533,-0.008
13,1610612751,28.63,54.37,0.526,0.531,-0.004
14,1610612748,23.73,45.02,0.527,0.531,-0.004
15,1610612742,28.14,53.56,0.525,0.529,-0.004
16,1610612741,29.34,55.75,0.526,0.529,-0.003
17,1610612747,28.67,53.88,0.532,0.529,0.003
18,1610612754,29.87,55.87,0.535,0.532,0.003
19,1610612750,26.69,49.69,0.537,0.533,0.004
20,1610612740,27.1,50.46,0.537,0.533,0.004
21,1610612761,26.33,49.11,0.536,0.532,0.004
22,1610612765,28.52,52.93,0.539,0.534,0.005
23,1610612749,26.33,49.22,0.535,0.529,0.006
24,1610612737,28.4,52.78,0.538,0.532,0.006
25,1610612758,30.9,56.88,0.543,0.532,0.011
26,1610612766,27.86,51.29,0.543,0.531,0.012
27,1610612757,27.02,49.39,0.547,0.534,0.013
28,1610612743,28.67,52.14,0.55,0.53,0.02
29,1610612745,30.09,52.43,0.574,0.533,0.041