,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612766,10.27,31.64,0.325,0.359,-0.034
1,1610612738,11.78,36,0.327,0.358,-0.031
2,1610612743,10.83,32.7,0.331,0.359,-0.028
3,1610612747,12.3,36.74,0.335,0.359,-0.024
4,1610612740,12.17,36.04,0.338,0.356,-0.019
5,1610612756,11.59,33.05,0.351,0.361,-0.01
6,1610612763,12.96,36.8,0.352,0.362,-0.009
7,1610612755,12.52,35.16,0.356,0.363,-0.007
8,1610612760,13.44,37.48,0.359,0.361,-0.003
9,1610612742,11.55,32.77,0.352,0.356,-0.003
10,1610612762,14.59,40.5,0.36,0.36,0.001
11,1610612765,11.57,32.3,0.358,0.354,0.004
12,1610612751,11.42,31.46,0.363,0.358,0.005
13,1610612741,13.91,38.13,0.365,0.36,0.005
14,1610612744,13.13,36.04,0.364,0.359,0.005
15,1610612753,13.26,36.35,0.365,0.359,0.006
16,1610612746,12.14,32.9,0.369,0.36,0.009
17,1610612750,10.76,28.86,0.373,0.363,0.01
18,1610612748,13.22,35.96,0.368,0.357,0.01
19,1610612749,13.33,35.75,0.373,0.362,0.011
20,1610612737,12.39,33,0.375,0.364,0.011
21,1610612754,12.09,32.59,0.371,0.358,0.013
22,1610612758,14,36.44,0.384,0.365,0.019
23,1610612759,13.17,34.43,0.383,0.362,0.02
24,1610612761,11.61,30.43,0.381,0.362,0.02
25,1610612739,11.24,29.86,0.376,0.356,0.02
26,1610612752,13.5,35,0.386,0.361,0.025
27,1610612745,14.83,38.38,0.387,0.36,0.026
28,1610612764,12.63,32.63,0.387,0.355,0.032
29,1610612757,13.83,34.75,0.398,0.363,0.035